measure,A,B,region,tstat,pvalue_corrected
eccentricity,baseline,early,7Networks_LH_Limbic_TempPole_1,0.8065348869774938,0.6337785483246013
eccentricity,baseline,early,7Networks_LH_Limbic_TempPole_10,2.3611729442147644,0.03127774121629484
eccentricity,baseline,early,7Networks_LH_Limbic_TempPole_11,1.0619777097794019,0.29169938200066015
eccentricity,baseline,early,7Networks_LH_Limbic_TempPole_12,-0.21272143024979195,0.832129152621071
eccentricity,baseline,early,7Networks_LH_Limbic_TempPole_13,2.1658786039723146,0.10062759245720718
eccentricity,baseline,early,7Networks_LH_Limbic_TempPole_14,1.371426031658095,0.2615797698101187
eccentricity,baseline,early,7Networks_LH_Limbic_TempPole_15,0.4919772319988442,0.9299047050907188
eccentricity,baseline,early,7Networks_LH_Limbic_TempPole_2,0.32716125930645856,0.7444695956830476
eccentricity,baseline,early,7Networks_LH_Limbic_TempPole_3,0.08002137522549799,0.9364362716842827
eccentricity,baseline,early,7Networks_LH_Limbic_TempPole_4,1.6384793572388432,0.3167010859594828
eccentricity,baseline,early,7Networks_LH_Limbic_TempPole_5,-0.015512442666769585,0.9876651057212098
eccentricity,baseline,early,7Networks_LH_Limbic_TempPole_6,2.1392942602658445,0.10713099887966457
eccentricity,baseline,early,7Networks_LH_Limbic_TempPole_7,1.0622105505135626,0.5022586026661803
eccentricity,baseline,early,7Networks_LH_Limbic_TempPole_8,1.2646835153750318,0.31492995876128943
eccentricity,baseline,early,7Networks_LH_Limbic_TempPole_9,1.7054629596481508,0.21161835795152376
eccentricity,baseline,early,7Networks_LH_SalVentAttn_FrOperIns_1,1.0271530226003862,0.5870529098934069
eccentricity,baseline,early,7Networks_LH_SalVentAttn_FrOperIns_10,-1.1704605972331057,0.37888812055632265
eccentricity,baseline,early,7Networks_LH_SalVentAttn_FrOperIns_11,0.13758879477955413,0.8909390998138358
eccentricity,baseline,early,7Networks_LH_SalVentAttn_FrOperIns_12,-0.41719686795632605,0.6777422950065493
eccentricity,baseline,early,7Networks_LH_SalVentAttn_FrOperIns_13,0.6449544850005986,0.6470540424766954
eccentricity,baseline,early,7Networks_LH_SalVentAttn_FrOperIns_14,-0.42069733949348875,0.926653878540596
eccentricity,baseline,early,7Networks_LH_SalVentAttn_FrOperIns_15,0.18939513069489305,0.8503016636916163
eccentricity,baseline,early,7Networks_LH_SalVentAttn_FrOperIns_16,-0.5207194709256974,0.8486539654589565
