,comp,region_idx,diff,tstat,pvalue,signif
28769,ecc,202,early_learning_2_late_learning,-0.3673255359083086,0.7143709707679613,0
28774,ecc,203,baseline_2_early_learning,-0.27429176318188253,0.7845855456221713,0
28775,ecc,203,baseline_2_late_learning,-0.030151634605707685,0.9760231377688363,0
28778,ecc,203,early_learning_2_late_learning,0.23230737161687098,0.8169077321973967,0
28783,ecc,204,baseline_2_early_learning,-0.8976756479697413,0.3721210212523607,0
28784,ecc,204,baseline_2_late_learning,-0.8976130285412105,0.3721542071357098,0
28787,ecc,204,early_learning_2_late_learning,0.0025777731915765803,0.9979498183326245,0
28792,ecc,205,baseline_2_early_learning,-2.0675490155429963,0.04199864373869154,1
28793,ecc,205,baseline_2_late_learning,-1.1513430980143842,0.2531081778488043,0
28796,ecc,205,early_learning_2_late_learning,0.8609671516496111,0.39189503827021,0
28801,ecc,206,baseline_2_early_learning,-1.7286658912788084,0.08782547902527917,0
28802,ecc,206,baseline_2_late_learning,-0.23089018424527447,0.8180046719010847,0
28805,ecc,206,early_learning_2_late_learning,1.4659835423386216,0.1466726847174069,0
28810,ecc,207,baseline_2_early_learning,-1.0395502444276645,0.30176062929389774,0
28811,ecc,207,baseline_2_late_learning,-0.6072526986917608,0.5454469890214941,0
28814,ecc,207,early_learning_2_late_learning,0.4607256080306069,0.6462774883825122,0
28819,ecc,208,baseline_2_early_learning,-1.925531169113433,0.05780768034110265,0
28820,ecc,208,baseline_2_late_learning,-0.9489079197349161,0.3455982618705945,0
28823,ecc,208,early_learning_2_late_learning,0.9579540797214717,0.3410458230689216,0
28828,ecc,209,baseline_2_early_learning,-1.005537524343096,0.31774735417090516,0
28829,ecc,209,baseline_2_late_learning,0.20069500929785683,0.8414594554904258,0
28832,ecc,209,early_learning_2_late_learning,1.1667017303563099,0.24688550905615467,0
28837,ecc,210,baseline_2_early_learning,-1.7249314789263415,0.0885003134702276,0
28838,ecc,210,baseline_2_late_learning,-0.027275750099897335,0.9783094634395928,0
28841,ecc,210,early_learning_2_late_learning,1.6573314307723483,0.10146958929776606,0
28846,ecc,211,baseline_2_early_learning,-1.6660482531106713,0.0997151692970637,0
28847,ecc,211,baseline_2_late_learning,-0.5369981029395561,0.5927974700356111,0
28850,ecc,211,early_learning_2_late_learning,1.1604244489082416,0.2494154736213511,0
28855,ecc,212,baseline_2_early_learning,-0.5496974244200087,0.5840974631927729,0
28856,ecc,212,baseline_2_late_learning,-0.6702121250479576,0.5047020565303433,0
28859,ecc,212,early_learning_2_late_learning,-0.11887204285051912,0.9056823474126237,0
28864,ecc,213,baseline_2_early_learning,-1.1279135588860134,0.26281396660026474,0
28865,ecc,213,baseline_2_late_learning,-0.06368372568669874,0.9493849861207477,0
28868,ecc,213,early_learning_2_late_learning,0.9873306971487028,0.3265334343818951,0
28873,ecc,214,baseline_2_early_learning,-1.532133623100274,0.12953553585601887,0
28874,ecc,214,baseline_2_late_learning,-1.6428914617805144,0.10443095873077668,0
28877,ecc,214,early_learning_2_late_learning,-0.03963348485294945,0.9684866011380051,0
28882,ecc,215,baseline_2_early_learning,-2.0280010983345873,0.04597456715140614,1
28883,ecc,215,baseline_2_late_learning,-1.3404375468375493,0.18399442358201618,0
28886,ecc,215,early_learning_2_late_learning,0.7571286829511953,0.4512538711789259,0
28891,ecc,216,baseline_2_early_learning,-1.6912400419459253,0.09478312270640808,0
28892,ecc,216,baseline_2_late_learning,-0.17283047582981007,0.8632323737416311,0
28895,ecc,216,early_learning_2_late_learning,1.492491897951002,0.13960411652225613,0
28900,ecc,217,baseline_2_early_learning,-0.6234764728593717,0.5347904425947982,0
28901,ecc,217,baseline_2_late_learning,-0.18611549278304929,0.8528373741779693,0
28904,ecc,217,early_learning_2_late_learning,0.4300185284368328,0.6683678891035735,0
